"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"18pF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C2";"18pF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C3";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C4";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C5";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C6";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C7";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C10";"10uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C11";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C12";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C13";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C14";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C15";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C16";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C17";"680uF";"CPOL-USE5-8.5";"E5-8,5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"C18";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C19";"220uf";"CPOL-USE5-8.5";"E5-8,5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"C20";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C21";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C22";"220uF";"CPOL-USE5-8.5";"E5-8,5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
